"URL","ASIN","Title","Brand","Fulfillment","Category","BSR","Subcategory","Price","Price Trend (90 days) (%)","Monthly Sales","Sales Trend (90 days) (%)","Monthly Revenue","Review Count","Reviews Rating","Seller","Number of Active Sellers","Last Year Sales","Sales Year Over Year (%)","Size Tier","Width","Height","Length","Weight","Storage Fee (Jan - Sep)","Storage Fee (Oct - Dec)","Best Sales Period","Age (Month)","Number of Images","Variation Count","Sales to Reviews"
"https://amazon.com/dp/B07C81TSGG","B07C81TSGG","Cable Cutter,8"" L,Shear Cut Action","JONARD TOOLS","Amazon","Tools & Home Improvement",75486,"Wire Cutters",29.95,-13,216,-33,6469.2,404,4.6,"Amazon",9,"N/A","N/A","Large Standard-Size",3.740157480315,10.196850393701,1.0236220472441,0.703395,"N/A","N/A","08/01/2022",58,6,6,0.53
"https://amazon.com/dp/B006C4AEUE","B006C4AEUE","Jonard Tools R30B-1000 Blue Insulated Kynar Copper Wire Roll, 30 AWG, 1000 ft Length","JONARD TOOLS","Amazon","Tools & Home Improvement",96376,"Electrical Wire",74.31,-6,86,7,6390.66,128,4.6,"Amazon",3,1062,"N/A","Large Standard-Size",3,2.3,3,0.45,"N/A","N/A","09/01/2022",138,3,30,0.67
"https://amazon.com/dp/B006C3S470","B006C3S470","Jonard Tools ASW-12, Double Ended Speed Wrench, Angled Head, 1/2""","JONARD TOOLS","Amazon","Tools & Home Improvement",26344,"Combination Wrenches",12.04,-19,523,-1,6296.92,1905,4.8,"Amazon",10,"N/A","N/A","Small Standard-Size",2.2047244094488,9.2125984251969,0.62992125984252,0.3087,"N/A","N/A","03/01/2023",130,3,10,0.27
"https://amazon.com/dp/B09MGBN4LT","B09MGBN4LT","Jonard Tools PT-100 Coax Cable Wire Tracer Pocket Continuity Tester & Toner with Audible Beep and LED, Red","JONARD TOOLS","Amazon","Tools & Home Improvement",39971,"Multi Testers",17.95,"N/A",349,-2,6264.55,1597,4.7,"Amazon",3,3482,"N/A","Small Standard-Size",2.91,8.27,0.71,0.2205,"N/A","N/A","03/01/2023",17,6,3,0.22
"https://amazon.com/dp/B00E1Q4RBC","B00E1Q4RBC","Jonard Tools EPD-9KRONE, Manual Punchdown Tool with Steel Krone Scissor Style Blade for Punchdown Blocks","JONARD TOOLS","FBM","Tools & Home Improvement",143260,"Punchdown Tools",67.86,-2,94,11,6250.06,179,4.6,"SIM Supply, Inc.",9,988,-2,"Large Standard-Size",3,1.3,9.9,0.45,"N/A","N/A","03/01/2022",102,5,9,0.53
"https://amazon.com/dp/B006C4CZGK","B006C4CZGK","Jonard Tools WD-30-W Wire Dispenser with 50 ft Roll of 30 AWG White Insulated Kynar Wire","JONARD TOOLS","Amazon","Tools & Home Improvement",49897,"Electrical Wire",24.95,34,167,-8,6179,231,4.6,"Amazon",4,2020,"N/A","Large Standard-Size",4.4488188976378,5.5905511811024,1.2992125984252,0.15435,"N/A","N/A","05/01/2022",129,6,10,0.72
"https://amazon.com/dp/B077ZL58S1","B077ZL58S1","Jonard Tools JIC-63020 9"" Curved Jaw Cable Cutter","JONARD TOOLS","Amazon","Tools & Home Improvement",75486,"Wire Cutters",27.95,3,216,-33,6037.2,404,4.6,"Amazon",15,"N/A","N/A","Large Standard-Size",3.740157480315,13.622047244094,1.0236220472441,0.96579,"N/A","N/A","08/01/2022",62,6,6,0.53
"https://amazon.com/dp/B07PWNBXZS","B07PWNBXZS","Jonard Tools FP-600INS, Insulated Fuse Puller with Cushion Grip, 6 3/4"" Length","JONARD TOOLS","Amazon","Industrial & Scientific",19251,"Needle-Nose Pliers",42.73,-9,141,0,6024.93,489,4.7,"Amazon",4,1963,-37,"Large Standard-Size",3.6614173228346,9.2125984251969,1.2992125984252,0.465255,"N/A","N/A","10/01/2021",49,5,2,0.29
"https://amazon.com/dp/B09JB371PF","B09JB371PF","Jonard Tools R30-5100 Solid Kynar® Wire & Dispenser Box, 5 Color Set (500 ft)","JONARD TOOLS","Amazon","Tools & Home Improvement",96376,"Electrical Wire",69.95,13,86,7,6015.7,128,4.6,"Amazon",1,1062,"N/A","Large Standard-Size",3.503937007874,7.6771653543307,3.4251968503937,0.557865,"N/A","N/A","09/01/2022",19,6,30,0.68
"https://amazon.com/dp/B006C3YJ1U","B006C3YJ1U","Jonard Tools FOD-RB25 Replacement Blade for Fiber Optic Drop Cable Slitter (Pack of 25)","JONARD TOOLS","Amazon","Tools & Home Improvement",76309,"Wire Strippers",46.95,13,126,-35,5915.7,561,4.6,"Amazon",12,1277,37,"Small Standard-Size",0.67,2.76,0.59,0.019845,"N/A","N/A","03/01/2023",79,5,4,0.22
